category,job_title,num_skills,description_length,posting_count
Finance,Operations Finance Analyst II,23,6847,1
Finance,Oracle Finance  Fusion Lead,18,2020,1
Finance,Oracle Finance Solution Expert (CoE Expert),18,2125,1
Finance,PeopleSoft Finance Techno-Functional Consultant,17,381,1
Finance,Portfolio Analyst-Finance (Indiana: Hybrid/Remote),15,3060,1
Finance,Product Strategist - Embedded Finance,17,5869,1
Finance,Program Finance Intern,9,3794,1
Finance,Project Finance Associate - 1890298,22,2263,1
Finance,"Project Finance Portfolio Management, Director",18,1348,1
Finance,Public Finance - Mid-Level Associate Attorney - DEN,16,3396,1
Finance,Public Finance Operations Administrator,16,3679,1
Finance,Regional & Specialty Banking Finance Manager,22,6044,1
Finance,Regional Finance Process Manager,21,5584,2
Finance,Regional Finance Process Manager,21,5683,2
Finance,Renewable IPP - Project Finance and M&A Associate,15,497,1
Finance,SAP CFIN Consultant - Central Finance,12,324,1
Finance,SAP Product Manager (S/4 HANA - RTR Finance ),25,5021,1
Finance,Sap Finance Control Consultant,23,1284,1
Finance,"Senior Analyst, Strategic Finance",18,6458,1
Finance,Senior Corporate Counsel - U.S. Bancorp Impact Finance,18,7183,1
Finance,Senior Director of Finance,21,8953,1
Finance,Senior Director of Finance or Controller,20,5145,1
Finance,Senior Finance Analyst (US),27,12349,1
Finance,Senior Finance Associate,17,1699,1
Finance,Senior Finance Manager,11,1209,2
Finance,Senior Finance Manager,21,7802,2
Finance,"Senior Finance Manager,  BTS Shared Services",18,4090,1
Finance,"Senior Finance Manager, Reporting Innovation",21,4108,1
Finance,Senior Financial Analyst - MT Supply Chain Procurement Source Finance - CSS,21,5314,1
Finance,"Senior Manager, Digital & Events Finance - CNBC",17,5369,1
Finance,Senior Portfolio Manager Equipment Finance,15,3995,1
Finance,Senior Project Finance Attorney,19,4281,1
Finance,Sr Analyst - Finance Technology,23,5573,1
Finance,"Sr Commercial Finance Director, Diabetes Americas Region",27,6309,1
Finance,"Sr Director, Finance",16,1751,1
Finance,Sr Finance Analyst,17,2893,1
Finance,"Sr Manager Finance (Calhoun, Georgia, United States, 30701)",26,5582,1
Finance,"Sr Manager, Distribution Finance",19,4277,1
Finance,Sr. Director of Accounting and Finance,18,4742,1
Finance,Sr. Finance Analyst,11,684,1
Finance,Sr. Finance Manager,20,6125,2
Finance,Sr. Finance Manager,18,4111,2
Finance,"Sr. Finance Manager, Capital Planning",24,5219,1
Finance,Sr. Finance Systems Specialist,14,4055,1
Finance,"Sr. Manager, IT Business Partner, Finance(Hybrid)",16,4629,1
Finance,Sr. SAP Finance Consultant/Architect,20,2933,1
Finance,Staff Data Engineer - People & Finance Tech (Remote),37,6574,1
Finance,Strategic Finance Analyst,18,7756,1
Finance,Strategic Finance Manager,17,3993,1
Finance,Structured Finance Associate,11,1348,1
Finance,Syndicated & Leveraged Finance Analyst,14,2752,1
Finance,Trade Finance Associate,10,1292,1
Finance,Transactional Finance Specialist,13,3250,1
Finance,Treasury Manager - Finance,19,6147,1
Finance,V.I.E. Sustainable Finance Analyst,10,5252,1
Finance,"VP / Client, Finance & Strategy Data Scientist Lead – JPM Private Client",31,5307,1
Finance,"VP Finance – Healthcare Services – Rapid Growth – Private Equity, 78796",16,1543,1
Finance,"VP Finance – Healthcare Services – Rapid Growth, 78810",12,1081,1
Finance,"VP of Structured Finance, Asset Backed (ABS) Credit",10,565,1
Finance,"VP, Deposit Finance - Expense & Productivity",20,6116,1
Finance,"VP, Finance and Investor Relations",17,2132,1
Finance,"VP, Technology Finance",22,7905,1
Finance,VP/Director of Finance,24,4156,1
Finance,Vice President Finance,19,4133,6
Finance,Vice President Finance,31,5111,6
Finance,Vice President Finance,30,2973,6
Finance,Vice President Finance,20,1416,6
Finance,Vice President Finance,22,5833,6
Finance,Vice President Finance,22,2560,6
Finance,Vice President of Finance,21,2881,2
Finance,Vice President of Finance,23,3507,2
Finance,Vice President of Finance / CFO,22,6170,1
Finance,"Vice President, Finance Change Management",20,5771,1
Finance,"Vice President, Finance Investments",20,4943,1
Finance,"Vice President, Portfolio & Transaction Management - Value Chain Finance",22,8308,1
Finance,Volunteer: Opportunity Alert: Finance Coordinator needed for Cyber Defense & Intelligence Center,15,4050,1
Finance,Workday Finance Technical Lead,40,8868,2
Finance,Workday Finance Technical Lead,27,1642,2
HR,AOC Human Resources Project Manager,26,6957,1
