required_skill,course_id,course_name,institution,average_rating,review_count
Aws,aws-machine-learning,getting started with aws machine learning,amazon web services,4.303592120509849,863
Aws,big-history,big history: connecting knowledge,macquarie university,4.778425655976676,343
Aws,building-modern-python-applications-on-aws,building modern python applications on aws,amazon web services,5.0,1
Aws,classification-vector-spaces-in-nlp,natural language processing with classification and vector spaces,deeplearning.ai,4.368770764119601,301
Aws,clinical-research,understanding clinical research: behind the statistics,university of cape town,4.826013513513513,592
Aws,containerized-apps-on-aws,building containerized applications on aws,amazon web services,4.216216216216216,37
Aws,contracts-1,american contract law i,yale university,4.851063829787234,94
Aws,corporate-commercial-law-part1,corporate & commercial law i: contracts & employment law,university of illinois at urbana-champaign,4.825581395348837,86
Aws,cs-fundamentals-1,object-oriented data structures in c++,university of illinois at urbana-champaign,4.602816901408451,355
Aws,diversity-inclusion-workplace,diversity and inclusion in the workplace,essec business school,4.640350877192983,114
Aws,drug-commercialization,drug commercialization,university of california san diego,4.588235294117647,136
Aws,engineering-mechanics-statics,introduction to engineering mechanics,georgia institute of technology,4.738983050847458,590
Aws,environmental-law,introduction to environmental law and policy,the university of north carolina at chapel hill,4.865342163355408,453
Aws,epidemic-pandemic-outbreak,"epidemics, pandemics and outbreaks",university of pittsburgh,4.728365384615385,416
Aws,european-law-fundamentals,european business law: understanding the fundamentals,lund university,4.696,125
Aws,finance-for-non-financial-managers,finance for non-financial managers,emory university,4.063492063492063,63
Aws,gcp-fundamentals,google cloud platform fundamentals: core infrastructure,google cloud,4.654331737048324,4594
Aws,gcp-infrastructure-foundation,essential google cloud infrastructure: foundation,google cloud,4.650808753568031,1051
Aws,global-energy,politics and economics of international energy,sciences po,4.722408026755853,299
Aws,how-things-work,how things work: an introduction to physics,university of virginia,4.808630393996248,533
Aws,immunologyfundamentalsimmunitybcells,fundamentals of immunology: innate immunity and b-cell function,rice university,4.732954545454546,176
Aws,international-humanitarian-law,international humanitarian law in theory and practice,universiteit leiden,4.850574712643678,174
Aws,international-law-in-action,international law in action: a guide to the international courts and tribunals in the hague,universiteit leiden,4.736526946107785,167
Aws,intro-common-law,introduction to english common law,university of london,4.823275862068965,232
Aws,introduction-intellectual-property,introduction to intellectual property,university of pennsylvania,4.739130434782608,69
Aws,japanese-1,japanese for beginners 1,saint petersburg state university,3.5294117647058822,34
Aws,machine-learning,machine learning,stanford university,4.751239405085559,12506
Aws,machine-learning-duke,introduction to machine learning,duke university,4.662650602409639,166
Aws,mcmc-bayesian-statistics,bayesian statistics: techniques and models,"university of california, santa cruz",4.729166666666667,96
Aws,ml-foundations,machine learning foundations: a case study approach,university of washington,4.442947368421053,2375
Aws,probability-statistics,probability and statistics: to p or not to p?,university of london,4.666666666666667,312
Aws,supply-chain-principles,supply chain principles,georgia institute of technology,4.522033898305085,295
Aws,technology-of-music-production,the technology of music production,berklee college of music,4.84688995215311,209
Aws,troubleshooting-debugging-techniques,troubleshooting and debugging techniques,google,4.1688311688311686,154
Aws,uva-darden-agile-testing,hypothesis-driven development,university of virginia,4.454545454545454,88
Aws,what-is-compliance,what is compliance?,university of pennsylvania,4.8,105
Aws,writing-editing-words,writing and editing: word choice and word order,university of michigan,4.7368421052631575,95
Tableau,data-visualization-tableau,fundamentals of visualization with tableau,"university of california, davis",4.244970414201183,845
Tableau,excellence-operationnelle,l'excellence opérationnelle en pratique,essec business school,4.735632183908046,87
Tableau,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,4.880952380952381,42
Tableau,python-for-data-visualization,data visualization with python,ibm,3.9543197616683217,1007
Communication,ai-for-everyone,ai for everyone,deeplearning.ai,4.854166666666667,6144
Communication,business-english-intro,business english: networking,university of washington,4.789823008849558,452
Communication,communication-strategies-virtual-age,communication strategies for a virtual age,university of toronto,4.8573351278600265,743
Communication,contracts-1,american contract law i,yale university,4.851063829787234,94
Communication,django-database-web-apps,web application technologies and django,university of michigan,4.626086956521739,115
Communication,english-principles,teach english now! foundational principles,arizona state university,4.914551607445008,2364
Communication,food-beverage-management,food & beverage management,università bocconi,4.798711755233494,621
Communication,global-financial-markets-instruments,global financial markets and instruments,rice university,4.222707423580786,229
Communication,international-organizations-management,international organizations management,university of geneva,4.796153846153846,260
Communication,international-security-management,international security management,erasmus university rotterdam,4.590909090909091,66
Communication,intro-business-analytics,introduction to business analytics: communicating with data,university of illinois at urbana-champaign,4.512195121951219,82
Communication,intro-economic-theories,introduction to economic theories,erasmus university rotterdam,4.135135135135135,37
Communication,introcss,introduction to css3,university of michigan,4.784918594687232,1167
Communication,introduction-to-computer-programming,introduction to computer programming,university of london,3.866141732283464,127
Communication,legal-tech-startups,legal tech & startups,ie business school,4.35,40
Communication,negotiation-skills,successful negotiation: essential strategies and skills,university of michigan,4.793810121288164,2391
Communication,organizational-behavior,international leadership and organizational behavior,università bocconi,4.819070904645477,409
Communication,project-risk-management,managing project risks and changes,"university of california, irvine",4.749152542372881,590
Communication,reussir-le-changement,réussir le changement,essec business school,4.38,400
Communication,spanish-in-healthcare-settings,spanish for successful communication in healthcare settings,rice university,4.0,6
Communication,strategic-management,strategic management,copenhagen business school,4.773993808049536,646
Communication,success,the science of success: what researchers know that you should know,university of michigan,4.841648590021692,461
Communication,supply-chain-logistics,supply chain logistics,rutgers the state university of new jersey,4.69313482216708,1209
Communication,teamwork-skills-effective-communication,teamwork skills: communicating effectively in groups,university of colorado boulder,4.770114942528736,435
Communication,tricky-american-english-pronunciation,tricky american english pronunciation,"university of california, irvine",4.743589743589744,507
Communication,uva-darden-bcg-pricing-strategy-cost-economics,cost and economics in pricing strategy,bcg,4.798165137614679,109
Communication,uva-darden-market-analytics,marketing analytics,university of virginia,4.62570281124498,1245
Communication,wharton-communication-skills,improving communication skills,university of pennsylvania,4.673469387755102,294
Communication,what-is-a-proof,mathematical thinking in computer science,university of california san diego,4.2097264437689965,329
Communication,writing-editing-words,writing and editing: word choice and word order,university of michigan,4.7368421052631575,95
Communication,writing-for-business,business writing,university of colorado boulder,4.819484240687679,698
Strategic Thinking,design-strategy,design-led strategy: design thinking for business strategy and entrepreneurship,the university of sydney,4.603174603174603,126
Strategic Thinking,essentials-global-health,essentials of global health,yale university,4.834782608695652,230
Strategic Thinking,strategic-management,strategic management,copenhagen business school,4.773993808049536,646
Strategic Thinking,uva-darden-foundations-business-strategy,foundations of business strategy,university of virginia,4.7825,400
Problem Solving,computational-thinking-problem-solving,computational thinking for problem solving,university of pennsylvania,4.608870967741935,248
Problem Solving,creative-problem-solving,creative problem solving,university of minnesota,4.407058823529412,425
Problem Solving,creative-thinking-techniques-and-tools-for-success,creative thinking: techniques and tools for success,imperial college london,4.737410071942446,556
Problem Solving,everyday-excel-part-2,"everyday excel, part 2",university of colorado boulder,4.944444444444445,36
Problem Solving,excel-vba-for-creative-problem-solving-part-1,"excel/vba for creative problem solving, part 1",university of colorado boulder,4.815634218289086,678
Problem Solving,investment-management,investment management in an evolving and volatile world by hec paris and axa investment managers,hec paris,4.4495412844036695,109
Problem Solving,mathematical-thinking,introduction to mathematical thinking,stanford university,4.774358974358974,390
Problem Solving,principles-of-microeconomics,the power of microeconomics: economic principles in the real world,"university of california, irvine",4.615384615384615,234
Problem Solving,python-data-visualization,"capstone: retrieving, processing, and visualizing data with python",university of michigan,4.377476538060479,959
Project Management,agile-atlassian-jira,agile with atlassian jira,atlassian,4.649532710280374,642
